account_id,customer_id,account_type,account_opening_date
1,1,current,28.08.2024
2,2,current,25.03.2008
3,3,current,21.10.2017
4,4,savings,16.05.2016
5,5,savings,25.05.2024
6,6,savings,23.08.2016
7,7,current,07.04.1999
8,8,savings,12.03.2015
9,9,current,20.12.2002
10,10,current,08.11.2023
11,11,savings,10.03.2003
12,12,current,23.05.2013
13,13,savings,05.04.2004
14,14,savings,13.10.2001
15,15,savings,""
16,16,savings,14.11.2011
17,17,current,25.10.2005
18,18,savings,28.03.1999
19,19,current,16.12.2023
20,20,savings,06.03.2007
21,21,savings,09.12.2024
22,22,current,24.10.2024
23,23,savings,24.07.2005
24,24,savings,17.10.2007
25,25,savings,21.12.2007
26,26,current,24.05.1996
27,27,savings,01.12.1998
28,28,savings,09.02.2017
29,29,savings,07.10.2004
30,30,current,10.04.2006
31,31,current,11.04.2009
32,32,"",""
33,33,current,16.02.1999
34,34,savings,23.10.2012
35,35,current,25.12.2008
36,36,current,02.04.2024
37,37,current,23.03.2013
38,38,current,26.12.1997
39,39,savings,03.11.1995
40,40,savings,02.10.2019
41,41,current,24.02.2001
42,42,current,12.04.2024
43,43,current,07.04.2001
44,44,current,01.10.1997
45,45,savings,12.01.1998
46,46,savings,15.04.2008
47,47,current,07.03.2005
48,48,current,18.12.2023
49,49,current,20.04.2003
50,50,current,04.05.2013
51,51,current,04.10.1995
52,52,current,13.05.2021
53,53,current,26.06.2009
54,54,savings,19.03.2014
55,55,savings,10.02.1997
56,56,savings,13.11.2003
57,57,current,19.11.2007
58,58,savings,18.11.2008
59,59,current,22.02.1999
60,60,current,17.02.2004
61,61,current,20.11.2001
62,62,savings,02.01.2023
63,63,savings,16.12.2010
64,64,current,07.02.1995
65,65,savings,21.02.2012
66,66,savings,04.11.2000
67,67,savings,15.03.2003
68,68,savings,19.01.2002
69,69,current,22.06.2005
70,70,current,01.07.2019
71,71,savings,21.03.2024
72,72,savings,11.09.2008
73,73,savings,11.05.2016
74,74,current,22.12.2011
75,75,savings,14.01.2003
76,76,current,12.08.2015
77,77,savings,26.11.2024
78,78,savings,28.02.2015
79,79,current,06.01.2001
80,80,current,18.06.1995
81,81,current,05.08.2014
82,82,current,25.05.2016
83,83,savings,01.05.1996
84,84,current,05.07.1995
85,85,current,22.10.2018
86,86,current,03.03.2018
87,87,savings,01.01.2016
88,88,current,18.12.2008
89,89,savings,23.02.2008
90,90,savings,14.12.1998
91,91,current,16.10.2010
92,92,savings,03.07.2003
93,93,current,13.08.2016
94,94,savings,01.07.2006
95,95,savings,03.11.2024
96,96,current,13.08.2023
97,97,current,27.12.2023
98,98,savings,21.09.2001
99,99,current,14.02.2015
100,100,current,20.01.2008
101,101,savings,20.03.2007
102,102,savings,22.10.2009
103,103,savings,28.02.1996
104,104,current,12.11.2005
105,105,savings,17.04.2012
106,106,current,18.12.2019
107,107,savings,27.06.2024
108,108,current,04.10.2003
109,109,current,13.01.2006
110,110,savings,06.10.2019
111,111,savings,28.08.1998
112,112,current,18.01.2024
113,113,savings,24.10.2012
114,114,savings,02.07.2002
115,115,current,25.05.2023
116,116,current,03.06.2000
117,117,savings,03.08.2004
118,118,savings,23.05.2011
119,119,savings,06.03.1999
120,120,savings,25.03.2024
121,121,savings,21.07.2022
122,122,current,04.04.2011
123,123,savings,09.10.2020
124,124,current,28.04.2000
125,125,savings,09.10.1999
126,126,savings,06.06.2009
127,127,savings,01.08.2021
128,128,current,20.12.2017
129,129,savings,12.02.2015
130,130,current,12.06.1999
131,131,current,28.05.2005
132,132,savings,27.06.2005
133,133,savings,22.10.2020
134,134,savings,18.04.2003
135,135,savings,25.08.2006
136,136,current,05.06.2019
137,137,current,14.02.2006
138,138,savings,04.08.2005
139,139,current,07.02.2003
140,140,savings,20.10.2018
141,141,current,20.04.1996
142,142,savings,14.11.2004
143,143,savings,10.12.1998
144,144,current,22.05.2013
145,145,current,16.09.2007
146,146,current,16.02.2020
147,147,savings,08.08.2011
148,148,current,13.12.1997
149,149,savings,11.01.1998
150,150,savings,05.09.2011
151,151,savings,24.03.2002
152,152,savings,28.04.1996
153,153,current,24.12.2009
154,154,savings,23.07.2008
155,155,savings,22.07.2000
156,156,savings,01.09.2018
157,157,current,27.03.2022
158,158,current,14.04.2000
159,159,current,26.09.1997
160,160,savings,06.02.2004
161,161,current,10.04.2015
162,162,current,22.05.2000
163,163,savings,17.06.2000
164,164,savings,17.08.1996
165,165,current,02.04.2002
166,166,current,18.03.2011
167,167,savings,01.03.2007
168,168,current,06.10.2016
169,169,savings,04.02.2023
170,170,savings,08.06.2024
171,171,savings,08.09.2009
172,172,savings,18.01.2016
173,173,current,21.12.2018
174,174,savings,20.08.2014
175,175,savings,26.12.2007
176,176,current,24.08.2006
177,177,current,26.06.2002
178,178,current,24.07.2011
179,179,savings,11.01.2012
180,180,savings,17.03.2013
181,181,savings,08.05.2024
182,182,current,09.11.2018
183,183,current,06.02.2003
184,184,savings,02.11.2002
185,185,savings,13.03.2001
186,186,savings,25.05.2008
187,187,current,03.03.2022
188,188,current,14.06.1997
189,189,savings,09.11.2004
190,190,current,07.11.2011
191,191,current,28.03.2022
192,192,current,04.01.2002
193,193,current,01.01.2015
194,194,savings,18.01.2012
195,195,savings,04.11.2003
196,196,current,01.05.1997
197,197,current,14.11.2023
198,198,savings,09.04.2006
199,199,current,09.05.2021
200,200,current,24.06.2009
201,201,savings,27.08.2006
202,202,current,07.06.2019
203,203,savings,26.09.2022
204,204,current,14.08.2014
205,205,current,17.10.2012
206,206,current,16.07.2021
207,207,current,19.05.1996
208,208,current,07.07.2009
209,209,current,03.09.2003
210,210,current,22.03.1997
211,211,current,17.08.2009
212,212,savings,26.07.2012
213,213,savings,11.09.2017
214,214,savings,10.05.2013
215,215,savings,28.02.2007
216,216,current,12.07.1998
217,217,savings,08.09.2023
218,218,savings,06.08.2005
219,219,current,23.11.2004
220,220,current,14.02.1995
221,221,current,27.01.2003
222,222,current,01.04.2014
223,223,current,21.03.2022
224,224,savings,26.06.1995
225,225,current,27.10.2009
226,226,current,10.12.2017
227,227,current,28.03.2012
228,228,savings,20.11.2024
229,229,current,17.11.2011
230,230,current,12.06.1995
231,231,savings,26.06.2013
232,232,savings,01.01.2001
233,233,current,26.01.2000
234,234,savings,17.01.2002
235,235,savings,17.06.1996
236,236,current,19.02.2005
237,237,savings,14.12.2008
238,238,savings,06.10.2023
239,239,current,06.11.2005
240,240,savings,09.07.2012
241,241,savings,05.02.2024
242,242,current,07.09.2011
243,243,current,03.10.2009
244,244,savings,28.10.2013
245,245,savings,13.03.1999
246,246,savings,08.06.2014
247,247,savings,04.06.2022
248,248,savings,02.07.2003
249,249,current,26.08.2003
250,250,savings,16.02.2011
251,251,savings,12.12.1996
252,252,current,26.02.1996
253,253,current,28.01.1996
254,254,savings,21.10.1997
255,255,savings,18.02.2016
256,256,current,19.07.2004
257,257,savings,02.01.2017
258,258,current,27.07.2018
259,259,current,26.07.2022
260,260,current,12.05.2021
261,261,current,23.04.2022
262,262,savings,06.05.2011
263,263,current,21.04.2019
264,264,savings,23.12.2020
265,265,current,26.03.1995
266,266,savings,04.12.2003
267,267,savings,21.06.2000
268,268,current,16.12.2019
269,269,savings,07.10.2016
270,270,savings,20.10.2022
271,271,savings,14.10.2015
272,272,current,01.05.2007
273,273,savings,04.10.1998
274,274,savings,10.10.2012
275,275,current,25.06.2004
276,276,current,28.06.2019
277,277,savings,08.08.2013
278,278,current,24.05.2002
279,279,current,18.02.2023
280,280,current,20.07.2013
281,281,savings,25.10.2016
282,282,current,10.07.2023
283,283,current,02.09.2024
284,284,current,05.12.2006
285,285,savings,02.09.2008
286,286,current,21.11.2008
287,287,savings,13.02.2009
288,288,current,20.06.2005
289,289,savings,07.02.2001
290,290,current,02.06.2021
291,291,current,28.10.2004
292,292,savings,19.09.2015
293,293,savings,10.07.2013
294,294,current,10.02.2023
295,295,current,16.05.2006
296,296,current,04.11.2013
297,297,savings,25.05.1999
298,298,current,23.08.2005
299,299,current,23.02.2019
300,300,current,25.11.1998
301,301,savings,02.02.2011
302,302,current,04.03.2020
303,303,savings,01.07.1995
304,304,savings,04.04.2002
305,305,current,19.03.2024
306,306,savings,13.02.1998
307,307,savings,10.11.1995
308,308,current,01.07.2024
309,309,current,01.01.2023
310,310,current,15.06.1996
311,311,savings,04.12.2015
312,312,savings,22.05.2005
313,313,savings,18.11.2022
314,314,current,01.07.2014
315,315,savings,04.09.2003
316,316,current,14.08.2000
317,317,current,22.04.1995
318,318,savings,02.08.2020
319,319,savings,07.10.2015
320,320,savings,26.03.1996
321,321,current,26.03.1995
322,322,savings,28.04.2001
323,323,current,02.12.2022
324,324,savings,08.10.2001
325,325,current,21.01.2019
326,326,savings,06.08.2021
327,327,savings,09.12.2018
328,328,current,28.12.2020
329,329,savings,07.10.2008
330,330,savings,28.02.2008
331,331,current,24.09.2019
332,332,savings,17.06.2012
333,333,savings,11.03.1997
334,334,current,17.12.2008
335,335,savings,18.02.2011
336,336,savings,09.01.2008
337,337,current,14.06.2013
338,338,savings,21.08.2002
339,339,savings,25.02.2000
340,340,current,03.11.2023
341,341,savings,19.12.2011
342,342,savings,03.11.2000
343,343,savings,28.06.2017
344,344,current,19.06.1995
345,345,savings,25.07.2022
346,346,savings,04.06.2007
347,347,current,01.05.2003
348,348,current,07.07.1996
349,349,savings,08.05.2005
350,350,savings,28.08.1999
351,351,current,10.01.1997
352,352,current,28.01.1997
353,353,current,28.09.2007
354,354,savings,24.05.2001
355,355,current,13.03.2003
356,356,savings,04.07.2000
357,357,savings,11.04.2009
358,358,savings,02.01.2022
359,359,current,01.05.1998
360,360,current,08.04.2005
361,361,current,13.08.2021
362,362,current,17.01.2005
363,363,savings,12.01.2002
364,364,savings,24.02.2018
365,365,current,07.06.2011
366,366,savings,05.04.2004
367,367,current,12.08.2014
368,368,savings,01.12.2004
369,369,savings,12.03.1997
370,370,current,01.03.2010
371,371,savings,24.02.2000
372,372,savings,04.09.2014
373,373,savings,15.09.2013
374,374,current,27.10.2012
375,375,savings,28.10.2006
376,376,savings,03.05.2014
377,377,savings,26.10.2014
378,378,current,09.01.2024
379,379,savings,13.10.2014
380,380,current,06.11.1997
381,381,current,12.07.2024
382,382,savings,26.06.2005
383,383,savings,06.02.2022
384,384,savings,06.07.1998
385,385,savings,07.09.1996
386,386,savings,23.04.1997
387,387,savings,25.03.1999
388,388,current,22.07.2004
389,389,savings,05.08.2014
390,390,savings,19.01.2008
391,391,current,07.02.1995
392,392,savings,17.07.2018
393,393,savings,19.07.1998
394,394,current,08.02.2010
395,395,current,10.11.2006
396,396,savings,18.05.2018
397,397,current,15.02.2009
398,398,current,06.11.2004
399,399,current,11.12.2020
400,400,current,11.09.2023
401,401,savings,23.02.2017
402,402,current,20.08.1999
403,403,savings,26.07.1997
404,404,savings,10.02.2020
405,405,current,15.12.1997
406,406,savings,22.12.1996
407,407,current,11.06.2014
408,408,current,26.02.1995
409,409,current,01.07.2023
410,410,current,19.05.2005
411,411,savings,20.09.2011
412,412,savings,13.08.2022
413,413,current,24.07.2014
414,414,current,28.01.2021
415,415,savings,22.01.2010
416,416,savings,13.10.2003
417,417,current,02.05.1995
418,418,current,06.09.2014
419,419,current,23.10.2006
420,420,savings,22.08.2001
421,421,current,15.01.1997
422,422,current,06.12.1999
423,423,savings,19.04.2007
424,424,current,21.04.2002
425,425,current,02.03.2012
426,426,savings,10.03.2002
427,427,savings,24.08.1998
428,428,savings,24.12.2001
429,429,savings,18.09.2008
430,430,current,04.07.2006
431,431,savings,20.06.2014
432,432,savings,01.05.2007
433,433,current,24.10.2015
434,434,savings,18.06.2004
435,435,savings,18.05.1999
436,436,savings,22.08.1996
437,437,current,21.11.2022
438,438,savings,08.05.2021
439,439,current,15.01.1998
440,440,savings,21.05.2021
441,441,current,01.08.2002
442,442,current,20.01.1996
443,443,savings,15.06.2021
444,444,current,13.08.2020
445,445,savings,23.03.1995
446,446,savings,18.03.1997
447,447,current,09.04.2014
448,448,current,23.07.2003
449,449,current,20.01.2010
450,450,current,14.07.2014
451,451,current,03.11.2004
452,452,current,28.11.2011
453,453,current,01.06.2014
454,454,current,02.12.2018
455,455,savings,28.04.1996
456,456,savings,14.02.2008
457,457,current,15.03.2011
458,458,current,26.12.2005
459,459,savings,16.08.2017
460,460,current,28.05.1995
461,461,current,15.11.2021
462,462,current,06.11.2000
463,463,savings,13.02.2016
464,464,savings,09.11.1995
465,465,savings,23.02.2021
466,466,savings,20.03.2024
467,467,current,26.10.1997
468,468,current,05.08.2013
469,469,savings,11.05.2000
470,470,savings,13.07.2013
471,471,savings,24.12.2011
472,472,current,10.04.2024
473,473,savings,21.04.2021
474,474,savings,11.05.2008
475,475,current,15.02.2024
476,476,current,28.12.2014
477,477,savings,16.10.2018
478,478,savings,22.02.2016
479,479,current,09.11.2011
480,480,current,25.05.1999
481,481,savings,26.08.2015
482,482,current,14.09.2015
483,483,savings,27.05.2001
484,484,savings,10.08.1996
485,485,current,19.02.2001
486,486,savings,28.08.2018
487,487,current,25.02.2006
488,488,current,15.11.2005
489,489,savings,25.11.2013
490,490,current,06.01.2023
491,491,current,28.06.2004
492,492,savings,15.05.1995
493,493,savings,13.12.2017
494,494,current,14.07.1995
495,495,savings,06.09.1996
496,496,savings,22.02.2007
497,497,current,23.04.2000
498,498,current,18.12.2008
499,499,savings,26.09.2014
500,500,current,06.08.2017
501,501,savings,01.10.2024
502,502,savings,11.07.2020
503,503,savings,15.10.2020
504,504,savings,26.10.2003
505,505,current,21.01.1999
506,506,current,21.08.2023
507,507,current,16.04.2014
508,508,current,27.07.2011
509,509,current,22.12.2019
510,510,savings,13.07.1996
511,511,savings,28.06.2020
512,512,savings,04.11.2012
513,513,current,20.12.1996
514,514,savings,14.10.1996
515,515,current,08.07.2023
516,516,current,17.11.2002
517,517,savings,12.01.2018
518,518,savings,27.02.2007
519,519,current,23.11.2005
520,520,current,15.12.2002
521,521,savings,13.08.2010
522,522,current,28.02.2009
523,523,savings,25.10.2008
524,524,savings,08.03.2008
525,525,current,22.03.1997
526,526,savings,05.06.2021
527,527,current,02.01.2011
528,528,current,18.09.2011
529,529,savings,22.03.2013
530,530,savings,13.11.2005
531,531,current,12.08.2002
532,532,savings,21.04.2008
533,533,current,16.11.1997
534,534,current,26.01.1997
535,535,savings,19.12.1995
536,536,savings,25.09.2022
537,537,savings,17.11.2007
538,538,savings,21.10.2002
539,539,savings,02.01.2018
540,540,savings,10.11.2024
541,541,current,11.09.2019
542,542,current,11.06.1998
543,543,current,13.01.2004
544,544,savings,25.04.2015
545,545,savings,07.05.2014
546,546,savings,12.09.2008
547,547,current,26.07.2005
548,548,savings,22.01.2001
549,549,savings,07.09.1998
550,550,savings,25.12.2022
551,551,current,25.08.2019
552,552,current,17.11.2004
553,553,current,15.04.1995
554,554,savings,18.12.2017
555,555,savings,21.04.2008
556,556,current,28.05.1999
557,557,current,20.08.2019
558,558,current,22.09.2014
559,559,savings,03.04.2007
560,560,savings,15.11.2005
561,561,current,11.09.2015
562,562,current,05.10.1998
563,563,savings,22.05.2017
564,564,current,15.12.2004
565,565,current,02.10.2014
566,566,current,10.09.1997
567,567,current,01.01.2015
568,568,savings,12.11.2016
569,569,savings,05.10.2008
570,570,savings,02.12.2020
571,571,current,09.12.2006
572,572,current,07.03.2007
573,573,savings,15.10.2005
574,574,current,20.11.2003
575,575,savings,26.08.2009
576,576,current,22.01.2015
577,577,current,26.11.2006
578,578,current,13.03.2008
579,579,savings,28.07.2024
580,580,savings,07.03.2016
581,581,current,24.11.2002
582,582,current,06.12.1998
583,583,savings,21.01.2016
584,584,savings,17.07.2017
585,585,savings,24.07.2005
586,586,current,20.10.2019
587,587,savings,22.02.2020
588,588,current,19.07.2015
589,589,savings,22.08.2016
590,590,current,02.07.2002
591,591,savings,16.05.2021
592,592,savings,15.07.2010
593,593,savings,02.02.2005
594,594,savings,27.03.2005
595,595,savings,14.05.2013
596,596,savings,25.01.1998
597,597,savings,24.11.1999
598,598,current,10.07.2000
599,599,current,21.11.2003
600,600,current,05.06.2000
601,601,savings,15.07.2016
602,602,current,15.12.2022
603,603,current,13.11.1996
604,604,current,07.12.2001
605,605,savings,23.02.2006
606,606,savings,20.04.2004
607,607,savings,13.03.2019
608,608,savings,12.04.2011
609,609,savings,10.06.2011
610,610,current,06.09.2001
611,611,current,07.11.2012
612,612,savings,20.04.2003
613,613,current,19.12.2015
614,614,current,24.10.2023
615,615,current,24.12.2011
616,616,current,01.01.2008
617,617,savings,19.07.2022
618,618,savings,11.09.2020
619,619,current,15.07.2004
620,620,savings,12.10.2006
621,621,current,15.11.2005
622,622,savings,05.06.2021
623,623,current,19.06.1997
624,624,savings,18.10.2014
625,625,current,01.08.1997
626,626,savings,09.11.1999
627,627,current,07.08.2004
628,628,current,08.12.2012
629,629,current,24.01.2006
630,630,current,06.09.2014
631,631,current,01.01.2007
632,632,savings,16.09.2018
633,633,savings,03.02.2022
634,634,current,06.04.2019
635,635,current,22.07.1997
636,636,savings,23.07.1996
637,637,current,22.05.2023
638,638,savings,10.04.2017
639,639,current,08.04.2011
640,640,savings,07.08.2010
641,641,current,20.03.2003
642,642,current,06.09.2000
643,643,current,22.08.1999
644,644,current,22.08.2013
645,645,current,19.05.1998
646,646,current,09.08.2010
647,647,savings,17.08.2009
648,648,current,18.09.2007
649,649,savings,23.12.2008
650,650,current,08.08.2011
651,651,savings,09.12.2013
652,652,current,14.05.2023
653,653,savings,12.09.2008
654,654,savings,03.05.2018
655,655,current,09.08.2014
656,656,current,18.04.2003
657,657,current,24.09.1995
658,658,current,07.12.2018
659,659,savings,09.11.2010
660,660,current,05.06.2015
661,661,current,23.04.2008
662,662,savings,04.09.2002
663,663,current,25.09.2012
664,664,current,25.01.1995
665,665,savings,14.06.2007
666,666,current,12.08.2018
667,667,current,12.07.2021
668,668,savings,07.08.2017
669,669,current,26.08.1996
670,670,current,08.03.1999
671,671,current,03.05.2023
672,672,savings,11.11.1995
673,673,current,23.06.2000
674,674,savings,22.12.2003
675,675,savings,02.05.2015
